name,category,source,description
3DMol.js,Visual,Academic Open Source,"Structure 3D viewer, allowing proteins and ligands to be displayed and manipulated. Uses 3DMol.js from University of Pittsburgh"
Atom Count (CXN),Molecular Properties,ChemAxon,Atom count calculator for structures using ChemAxon's property calculators
Box Plot,Visual,Squonk,Displays data as a box plot using the D3 Javascript library
CNS MPO (CXN),Molecular Properties,ChemAxon,Multi-Parameter Optimisation score for drugs targeted at the Central Nervous Systmem (CNS).
CSV Upload,Input/Output,Squonk,Allows a text file to be uploaded into the system. Comma and tab separated formats are supported along with basic options like whether to handle first line as headers.
Canonical Smiles (RDKit),Molecular Properties,RDKit,Generate a canonical smiles string for structures using RDKit
ChEMBL Activities Fetcher,Input/Output,EBI,Pulls compound and activity data  for a specified assay ID from the ChEMBL REST web services at the EBI
Chemcentral Similarity Search,Structure search,RDKit,"Search our ""house"" databases using similarity search"
Chemcentral Structure Search,Structure search,RDKit,"Search our ""house"" databases using exact or substructure search"
Chemcentral multi-search,Structure search,RDKit,"Search our ""house"" databases to find structures similar to any of the input structures"
Convert to Molecules,Transform,Squonk,Generate molecules from text representation e.g. a smiles column from a CSV file
Dataset Docker Processor,Programming,Squonk,Process a dataset using a specified Docker container
Dataset Enricher,Transform,Squonk,Enriches one dataset with content from another
Dataset Potion,Transform,Squonk,A simple language for performing powerful data transformations
Dataset Random Selector,Filter,Squonk,Select records at random from a dataset
Dataset UUID filter,Filter,Squonk,Filter a dataset with a set of UUIDs
Dataset slice selector,Filter,Squonk,Simple cell that let's you prepare a subset of a large dataset starting at a specified entry and including a specified number of entry
Dataset sorter,Transform,Squonk,Sort a dataset by one or more fields
Drug-like Filter (CXN),Molecular Properties,ChemAxon,Apply a drug likeness filter to molecules using ChemAxon's property calculators
ECFP4 Screen (CXN),Molecular Screening,ChemAxon,Filter molecules with ECFP fingerprints similarity using ChemAxon's Screen
Formal Charge (RDKit),Molecular Properties,RDKit,"Calculates the formal charge of a molecule. e.g. 1+, 2+, 1-, 0 (for neutral)"
Frac sp3 C (RDKit),Molecular Properties,RDKit,Calculate the fraction of sp3 hybridised carbon atoms for structures using RDKit
Ghose filter (CXN),Molecular Properties,ChemAxon,Ghose drug like filter implemented with ChemAxon's property calculators
Ghose filter (RDKit),Molecular Properties,RDKit,Ghose drug like filter implemented using RDKit
Groovy Dataset Filter,Filter,Squonk,Filter a dataset based on an expression using the Groovy programming language.
HBA & HBD (CDK),Molecular Properties,CDK,H-bond acceptors and donors using Chemistry Development Kit
HBA & HBD (RDKit),Molecular Properties,RDKit,Calculate the number of h-bond donors and acceptors for structures using RDKit
Heatmap,Visual,Squonk,Display of relationships between data using a heatmap
Image Viewer,Visual,Squonk,Simple viewer for image files
KiDS MPO (CXN),Molecular Properties,ChemAxon,Multi-Parameter Optimisation score for kinase drugs.
Lipinski filter (CXN),Molecular Properties,ChemAxon,Lipinski filter for structures using ChemAxon's property calculators
Lipinski filter (RDKIT),Molecular Properties,RDKit,Calculate Lipinski properties for structures using RDKit
LogD (CXN),Molecular Properties,ChemAxon,LogD predictor for structures using ChemAxon's property calculators
LogP (CDK),Molecular Properties,CDK,ALogP and XLogP predictors for structures using Chemistry Development Kit
LogP (CXN),Molecular Properties,ChemAxon,LogP predictor for structures using ChemAxon's property calculators
LogP (OpenChemLib),Molecular Properties,OpenChemLib,LogP predictor for structures using OpenChemLib
LogP (RDKit),Molecular Properties,RDKit,Predict LogP using RDKit
LogS (CXN),Molecular Properties,ChemAxon,LogS (solubility) predictor for structures using ChemAxon's property calculators
LogS (OpenChemLib),Molecular Properties,OpenChemLib,Solubility (LogS) predictor for structures using OpenChemLib
Merge Datasets,Transform,Squonk,Merge multiple datasets into one using a common key. Useful for combining data from multiple sources into a single dataset where there is a common identifier linking the records
MolAlignAssemblies,Molecular Screening,Other,Alignment of 3D structures
Molar Refractivity (RDKit),Molecular Properties,RDKit,Predict molar refractivity using RDKit
